Player;Challenges;Challenges won %;Air Challenges;Air Challenges won;Tackles;Ball interceptions;Free ball pick ups;Challenges won;Defensive challenges;Defensive challenges won;Challenges in defence won;Tackles won;Defensive xG (xG of shots made by guarded player);Yellow cards;Fouls
J. Lucumi;11;64%;2,5;43%;2,5;7;5,7;7;9;5,3;61%;64%;0,11;0,11;0,72
Average Pl;15;51%;1,88;50%;2,3;7;8;8;7;3,9;54%;75%;0,15;0,12;0,75
