;;Challenges;Challenges won, %;Attacking challenges;Air challenges;Air challenges won, %;Tackles;Ball interceptions;Free ball pick ups;Challenges won;Defensive challenges;Defensive challenges won;Challenges in defence won, %;Attacking challenges won;Challenges in attack won, %;Air challenges won;Tackles successful;Tackles won, %;Defensive xG (xG of shots made by guarded player);Defensive xG per shot;Yellow cards;Red cards;Fouls;Position
7;Andreas Skov Olsen;150;46%;95;16;38%;36;45;59;69;55;25;45%;44;46%;6;16;44%;0,07;0,07;-;-;1;RM
17;T. Buchanan;282;51%;165;39;49%;60;42;62;145;117;67;57%;78;47%;19;42;70%;0,59;0,2;2;1;14;RM
19;Kamal Sowah;71;46%;51;10;40%;13;13;27;33;20;11;55%;22;43%;4;8;62%;-;-;-;-;6;RM
16;Tibo Persyn;8;38%;7;3;33%;1;4;4;3;1;1;100%;2;29%;1;1;100%;-;-;1;-;2;RM
99;Abdoulie Sanyang;123;38%;87;17;18%;13;7;35;47;36;15;42%;32;37%;3;11;85%;-;-;-;-;2;RM
23;Olivier Deman;543;41%;342;162;34%;123;77;110;220;201;82;41%;138;40%;55;58;47%;0,74;0,15;7;-;42;RM
28;K. Tshiend;170;48%;86;25;28%;36;32;44;82;84;48;57%;34;40%;7;22;61%;0,49;0,25;1;-;10;RM
3;Oluwafemi Ibrahim Seriki;1;100%;-;-;-;-;-;-;1;1;1;100%;-;-;-;-;-;-;-;-;-;-;RM
11;Issa Soumare;199;45%;164;94;53%;13;22;22;90;35;17;49%;73;45%;50;9;69%;0,19;0,19;3;-;8;RM
18;Tatsuhiro Sakamoto;221;45%;124;27;44%;48;52;61;100;97;49;51%;51;41%;12;26;54%;0,33;0,11;-;-;13;RM
7;Dylan Mbayo;297;38%;188;26;19%;71;35;62;114;109;39;36%;75;40%;5;29;41%;0,06;0,03;6;-;23;RM
38;K. Pius;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;RM
61;K. Arnstad;59;36%;34;7;29%;15;16;16;21;25;9;36%;12;35%;2;6;40%;-;-;1;-;7;RM
18;Matisse Samoise;421;45%;189;76;45%;133;139;193;190;232;110;47%;80;42%;34;64;48%;0,86;0,08;6;1;33;RM
38;Jackson Tchatchoua;300;57%;146;74;55%;74;103;137;170;154;94;61%;76;52%;41;43;58%;0,61;0,07;8;-;18;RM
19;Manuel Osifo;39;38%;14;4;50%;18;14;14;15;25;7;28%;8;57%;2;5;28%;0,31;0,31;-;-;1;RM
36;Siebe Wylin;78;46%;22;20;35%;20;36;34;36;56;25;45%;11;50%;7;8;40%;0,38;0,38;-;-;6;RM
