;;Challenges;Challenges won, %;Attacking challenges;Air challenges;Air challenges won, %;Tackles;Ball interceptions;Free ball pick ups;Challenges won;Defensive challenges;Defensive challenges won;Challenges in defence won, %;Attacking challenges won;Challenges in attack won, %;Air challenges won;Tackles successful;Tackles won, %;Defensive xG (xG of shots made by guarded player);Defensive xG per shot;Yellow cards;Red cards;Fouls;Position
17;Robbe Quirynen;19;58%;8;3;33%;5;13;7;11;11;6;55%;5;63%;1;4;80%;0,14;0,03;-;-;-;RD
25;Nayel Mehssatou;78;51%;39;10;50%;12;36;43;40;39;21;54%;19;49%;5;9;75%;0,82;0,09;-;-;4;RD
27;Noah Sadiki;13;69%;2;-;-;6;4;1;9;11;7;64%;2;100%;-;3;50%;0,09;0,09;-;-;2;RD
32;Andreas Beck;379;52%;177;133;48%;92;111;135;196;202;114;56%;82;46%;64;54;59%;2,6;0,11;6;-;21;RM
7;Geoffry Hairemans;333;41%;177;78;35%;100;66;119;137;156;59;38%;78;44%;27;44;44%;0,34;0,09;6;-;23;RM
19;Gianni Bruno;74;34%;60;21;24%;7;5;17;25;14;4;29%;21;35%;5;3;43%;-;-;-;-;4;RM
10;Mehdi Carcela;168;48%;119;9;22%;26;16;31;81;49;20;41%;61;51%;2;8;31%;0,02;0,02;1;-;9;RM
19;Guillaume Francois;109;45%;35;14;57%;38;45;56;49;74;34;46%;15;43%;8;18;47%;0,39;0,1;3;-;16;RM
11;Nill De Pauw;1;100%;1;-;-;-;1;1;1;-;-;-;1;100%;-;-;-;-;-;-;-;-;RM
8;Onur Kaya;20;35%;12;-;-;8;4;9;7;8;3;37%;4;33%;-;3;37%;-;-;-;-;2;RM
5;Joren Dom;422;52%;142;142;48%;126;158;166;219;280;152;54%;67;47%;68;71;56%;2,8;0,12;4;-;29;RM
18;Barnabas Bese;35;37%;20;13;46%;6;16;16;13;15;7;47%;6;30%;6;2;33%;0,04;0,04;-;-;3;RM
2;Bart Nieuwkoop;525;47%;210;125;56%;148;172;143;249;315;166;53%;83;40%;70;82;55%;0,93;0,08;8;-;47;RM
29;Marlos Moreno Duran;537;50%;360;79;32%;104;75;92;270;177;90;51%;180;50%;25;63;61%;0,14;0,03;5;-;33;RM
7;Isaac Mbenza;26;46%;15;1;-;2;11;14;12;11;7;64%;5;33%;-;1;50%;-;-;-;-;3;RM
19;Koji Miyoshi;307;40%;191;36;25%;62;45;84;122;116;47;41%;75;39%;9;34;55%;-;-;2;-;18;RM
19;Derek Germano Kutesa;390;41%;290;62;32%;48;33;72;159;100;37;37%;122;42%;20;28;58%;0,61;0,15;2;-;13;RM
5;Buta;176;52%;75;25;60%;52;62;55;92;101;59;58%;33;44%;15;34;65%;0,34;0,06;5;-;15;RM
14;Thibault Vlietinck;49;45%;27;14;36%;7;13;20;22;22;13;59%;9;33%;5;4;57%;0,06;0,06;1;-;2;RM
8;A. Gholizadeh;341;40%;221;22;32%;78;68;150;136;120;39;33%;97;44%;7;33;42%;0,25;0,05;9;1;22;RM
19;Levan Shengelia;99;49%;53;10;60%;23;30;35;49;46;28;61%;21;40%;6;15;65%;0,26;0,07;1;-;4;RM
27;Mamadou Fall;57;28%;45;20;15%;5;9;10;16;12;5;42%;11;24%;3;3;60%;0,04;0,02;-;-;4;RM
35;Marian Shved;386;42%;261;48;42%;74;40;60;161;125;67;54%;94;36%;20;49;66%;0,02;0,02;2;-;32;RM
14;M. Benson;458;34%;347;56;25%;53;33;105;154;111;25;23%;129;37%;14;16;30%;0,03;0,03;3;-;10;RM
22;W. Janssens;117;52%;49;24;67%;40;26;35;61;68;42;62%;19;39%;16;23;57%;-;-;4;1;9;RM
14;A. Castro-Montes;524;52%;279;68;60%;138;138;151;272;245;132;54%;140;50%;41;75;54%;0,34;0,03;5;-;35;RM
21;F. Sambu Mansoni;261;52%;133;33;42%;59;79;108;137;128;76;59%;61;46%;14;40;68%;1,11;0,11;2;-;6;RM
7;Junya Ito;594;45%;427;45;24%;114;70;145;266;167;81;49%;185;43%;11;60;53%;0,09;0,03;5;-;23;RM
36;Abdoulie Jallow;349;44%;235;48;33%;65;47;117;155;114;54;47%;101;43%;16;34;52%;0,11;0,06;2;-;12;RM
25;Emmanuel Sowah;5;80%;2;-;-;2;3;3;4;3;3;100%;1;50%;-;2;100%;-;-;-;-;-;RM
7;F. Amuzu;284;40%;208;34;26%;36;25;60;114;76;29;38%;85;41%;9;15;42%;-;-;6;-;21;RM
77;J. Sekidika;3;33%;2;-;-;1;-;-;1;1;1;100%;-;-;-;1;100%;-;-;-;-;-;RM
11;Aron Leonard Donnum;324;39%;247;41;41%;37;28;81;126;77;30;39%;96;39%;17;18;49%;0,06;0,06;5;-;28;RM
7;Karim Zedadka;76;57%;34;14;57%;17;17;10;43;42;27;64%;16;47%;8;14;82%;0,16;0,08;3;-;7;RM
19;M. Bundu;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;RM
32;Daan Vekemans;21;33%;9;1;-;8;4;7;7;12;5;42%;2;22%;-;3;38%;0,15;0,15;-;-;4;RM
11;Musa Al-Taamari;519;42%;347;43;30%;93;87;135;220;172;62;36%;158;46%;13;45;48%;0,54;0,14;3;1;10;RM
80;Pierre Junior Dwomoh;60;48%;30;9;67%;14;19;26;29;30;14;47%;15;50%;6;8;57%;0,08;0,03;4;-;5;RM
4;Daiki Hashioka;406;59%;172;135;64%;105;183;144;240;234;143;61%;97;56%;86;67;64%;1,88;0,11;4;-;21;RM
4;Damjan Pavlovic;146;52%;61;36;53%;36;44;50;76;85;49;58%;27;44%;19;21;58%;0,15;0,08;3;1;16;RM
34;Jelle Bataille;367;59%;139;46;65%;141;132;133;216;228;144;63%;72;52%;30;90;64%;0,72;0,12;4;1;23;RM
10;Yari Verschaeren;375;42%;218;34;21%;89;71;112;158;157;71;45%;87;40%;7;47;53%;0,06;0,02;2;-;10;RM
