;Challenges;Challenges won, %;Attacking challenges;Air challenges;Air challenges won, %;Tackles;Ball interceptions;Free ball pick ups;Challenges won;Defensive challenges;Defensive challenges won;Challenges in defence won, %;Attacking challenges won;Challenges in attack won, %;Air challenges won;Tackles successful;Tackles won, %;Defensive xG (xG of shots made by guarded player);Defensive xG per shot;Yellow cards;Red cards;Fouls
Junior Udeme Pius;133;65 %;31;38;66 %;32;81;61;87;102;66;65 %;21;68 %;25;19;59 %;1,54;0,22;2;-;8
Abdoulaye Seck;306;68 %;101;145;66 %;54;167;96;209;205;147;72 %;62;61 %;96;39;72 %;2,9;0,13;5;2;20
Jan Van den Bergh;378;58 %;144;145;55 %;74;141;158;218;234;147;63 %;71;49 %;80;49;66 %;1,85;0,1;8;1;21
Dinis Almeida;239;57 %;46;98;56 %;71;126;107;137;193;114;59 %;23;50 %;55;43;61 %;2;0,08;4;-;17
A. Radovanović;297;74 %;39;163;74 %;47;245;144;219;258;188;73 %;31;79 %;120;35;74 %;5,6;0,09;4;1;15
Yahya Nadrani;408;70 %;66;86;62 %;119;203;151;286;342;247;72 %;39;59 %;53;95;80 %;3,4;0,1;7;-;34
Stefan Knezevic;528;65 %;115;180;67 %;101;222;192;342;413;280;68 %;62;54 %;120;69;68 %;4,7;0,09;5;-;37
Jonas Valentin Bager;258;63 %;61;66;62 %;72;134;104;162;197;128;65 %;34;56 %;41;47;65 %;2,5;0,12;3;1;22
J. Lucumí;291;64 %;61;65;43 %;67;173;151;185;230;140;61 %;45;74 %;28;43;64 %;3;0,1;3;-;19
S. Nsoki;394;69 %;120;100;64 %;81;232;174;271;274;187;68 %;84;70 %;64;53;65 %;1,15;0,07;8;2;23
Koki Machida;130;67 %;26;45;78 %;24;57;57;87;104;70;67 %;17;65 %;35;14;58 %;0,57;0,06;2;1;17
C. Cuesta;213;69 %;52;71;66 %;52;100;76;146;161;106;66 %;40;77 %;47;35;67 %;1,75;0,11;2;-;10
Silas Gnaka;153;58 %;54;35;31 %;34;81;79;89;99;50;51 %;39;72 %;11;17;50 %;1,03;0,06;-;-;6
Kouadio-Yves Dabila;119;65 %;18;51;53 %;22;89;80;77;101;63;62 %;14;78 %;27;16;73 %;1;0,08;-;1;4
Rick van Drongelen;80;60 %;16;28;68 %;10;44;53;48;64;39;61 %;9;56 %;19;5;50 %;0,85;0,09;2;-;6
Hannes Delcroix;71;56 %;13;27;52 %;10;56;37;40;58;32;55 %;8;62 %;14;5;50 %;0,4;0,07;-;-;2
Siebe Van Der Heyden;393;62 %;91;114;64 %;108;167;152;243;302;190;63 %;53;58 %;73;68;63 %;1,98;0,09;12;-;43
Edgaras Utkus;373;67 %;97;151;68 %;66;128;145;249;276;186;67 %;63;65 %;103;41;62 %;1,29;0,12;8;2;46
Jack William Hendry;352;73 %;83;151;72 %;63;185;179;257;269;199;74 %;58;70 %;108;49;78 %;4,7;0,11;3;1;14
Maximiliano Caufriez;85;58 %;21;24;58 %;28;32;23;49;64;39;61 %;10;48 %;14;15;54 %;0,2;0,05;3;-;7
Stipe Radic;381;65 %;57;181;66 %;70;275;197;248;324;214;66 %;34;60 %;120;43;61 %;8;0,14;5;2;32
